config,BL_s0,BL_s1,BL_s2,BL_s7,BL_s42,HD_s0,HD_s1,HD_s2,HD_s7,HD_s42,BL_mean,HD_mean,BL_std,HD_std,delta_pct,hd_seed_wins,dataset_name,term,ds_base
ett1/D/short,1.6248642906739037,1.6981305587463584,1.7096807891630306,1.6733639437249035,1.6681510848441434,1.6722003615227017,1.6462505868522703,1.680550523635914,1.6655731843530248,1.681848854965038,1.6748381334304678,1.6692847022657897,0.03279032841226159,0.014470863581660403,0.33158017206733587,3,ett1/D,short,ett1
m4_quarterly/short,1.316900959248943,1.438910733710369,1.3680006298261682,1.317712176966085,1.3271160236889448,1.391666420156073,1.362015254057937,1.3294938962505665,1.3562889723134255,1.3106920065488106,1.353728104688102,1.3500313098653627,0.05201291620103161,0.031167378017973944,0.2730825200375864,3,m4_quarterly,short,m4_quarterly
solar/H/medium,0.9116467488936416,0.9772390828430056,0.92074064075397,1.0189129867624929,0.9806854634463223,0.9795171219863448,0.975418495568382,0.9546496060733206,0.9407775528938565,0.9470080737281787,0.9618449845398864,0.9594741700500166,0.04488354020611592,0.017205993917180095,0.24648613113099319,3,solar/H,medium,solar
bitbrains_fast_storage/5T/short,0.801157141975063,0.7778882997694782,0.7923413346034358,0.7958405151486262,0.7846008035619976,0.7955995588645651,0.7922785140047631,0.7852983829929325,0.7848803303164995,0.7853700361833542,0.7903656190117202,0.788685364472423,0.009209390592213427,0.0049411066014745444,0.21259205852074062,3,bitbrains_fast_storage/5T,short,bitbrains_fast_storage
bitbrains_rnd/H/short,5.938957553185088,5.927972075088123,5.951494011446951,5.928128629599297,5.924387280065124,5.929441004593552,5.894065965177305,5.971381887254065,5.944380369365777,5.901672066111386,5.934187909876917,5.928188258500417,0.011109168208642578,0.03161045219701288,0.1011031579656185,3,bitbrains_rnd/H,short,bitbrains_rnd
hierarchical_sales/D/short,0.7472692890849367,0.745316063024308,0.745582990912794,0.7479054070045421,0.7475344748692195,0.7467155727084143,0.7456463937987627,0.7463343242385432,0.7500450165876253,0.7481529868220091,0.74672164497916,0.7473788588310709,0.001186812194932332,0.001749293243917094,-0.08801323174838557,1,hierarchical_sales/D,short,hierarchical_sales
LOOP_SEATTLE/D/short,0.9091461231839716,0.8923000009076647,0.8886041151320082,0.9390528900951616,0.8973177923905817,0.912390338091488,0.9144838982810908,0.922832316721621,0.9066231434457472,0.8794726500701424,0.9052841843418775,0.9071604693220179,0.020405374224042924,0.01653401791763537,-0.2072592245168166,2,LOOP_SEATTLE/D,short,LOOP_SEATTLE
temperature_rain_with_missing/short,1.3552224652006062,1.3455909419315175,1.356739767122372,1.367098298520628,1.361238318680971,1.3616958541003406,1.3641411924533653,1.3563017620030304,1.3656056851455405,1.357367895424186,1.357177958291219,1.3610224778252928,0.007955730475729035,0.004087381077186253,-0.2832730601456613,3,temperature_rain_with_missing,short,temperature_rain_with_missing
jena_weather/H/short,0.5521625967515217,0.5385953268024588,0.548527136593737,0.5589293395900324,0.5457638440904599,0.5445603710580733,0.5506693702396147,0.5603238060112505,0.5524023739231435,0.5449337412299919,0.5487956487656419,0.5505779324924147,0.007538874833015022,0.006449553059394902,-0.324762729220164,3,jena_weather/H,short,jena_weather
hospital/short,0.763388044805982,0.7671196630545161,0.7663035836644324,0.7665786036445019,0.7618424196726533,0.775093467931283,0.762294029324213,0.7637645758533738,0.7680900366895888,0.7703382438734162,0.765046462968417,0.767916070734375,0.002304463621718074,0.00515399060815512,-0.37508934487765466,2,hospital,short,hospital
kdd_cup_2018_with_missing/D/short,1.2022740896606474,1.2011414401054166,1.2061010834573462,1.2194928473290203,1.2224967013613264,1.2174837286070157,1.221073891174185,1.2151055262574253,1.22206819063787,1.2100955692270954,1.2103012323827513,1.2171653811807184,0.009989911345557457,0.0048384031299231346,-0.5671438328170098,1,kdd_cup_2018_with_missing/D,short,kdd_cup_2018_with_missing
